ts_datenstand,ts_download,bundesland,bundesland_iso,impfungen_kumulativ,differenz_zum_vortag,impfungen_pro_1_000_einwohner,indikation_nach_alter,berufliche_indikation,medizinische_indikation,pflegeheim_bewohner_in,notes,rs
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Baden-Württemberg,BW,27454,3390,2.473245544257258,12584,8739,1469,4932,NA,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Bayern,BY,66258,8425,5.048329730340502,15480,31755,1280,23823,NA,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Berlin,BE,17758,935,4.839363279539315,10507,6132,105,11625,NA,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Brandenburg,BB,3309,NA,1.3121095938646088,204,3085,20,224,(Meldung vom 03.01. steht noch aus),NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Bremen,HB,1903,66,2.793591328269735,824,506,9,289,NA,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Hamburg,HH,4140,436,2.2411656659916104,1616,2189,0,1953,NA,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Hessen,HE,33405,3320,5.312432411801376,9387,19405,1185,12955,NA,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Mecklenburg-Vorpommern,MV,11494,NA,7.147396554275815,178,6583,8,4804,NA,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Niedersachsen,NI,5394,432,0.6747891565360724,992,2822,1035,3178,NA,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Nordrhein-Westfalen,NW,53841,3539,2.999963058347585,0,21354,0,32495,NA,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Rheinland-Pfalz,RP,7248,NA,1.770437648376134,0,3516,0,3732,NA,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Saarland,SL,4149,NA,4.204128740169847,3122,495,0,1580,NA,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Sachsen,SN,4866,523,1.194998687367862,487,3765,1,1100,NA,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Sachsen-Anhalt,ST,13366,544,6.089898677864134,4391,6446,562,6702,NA,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Schleswig-Holstein,SH,9557,624,3.2912352308531005,2801,5317,2325,4512,NA,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Thüringen,TH,810,NA,0.37967955045941226,232,297,0,413,NA,NA
2021-01-05T11:00:00Z,2021-01-05T14:40:04Z,Baden-Württemberg,BW,32182,4758,2.8991763715774415,15546,9828,1716,5642,NA,NA
2021-01-05T11:00:00Z,2021-01-05T14:40:04Z,Bayern,BY,77876,11618,5.933528420417111,18188,38306,1554,26500,NA,NA
2021-01-05T11:00:00Z,2021-01-05T14:40:04Z,Berlin,BE,19389,1631,5.28383909375987,11608,6783,105,12575,NA,NA
2021-01-05T11:00:00Z,2021-01-05T14:40:04Z,Brandenburg,BB,3334,25,1.3220227820926582,227,3087,20,224,NA,NA
2021-01-05T11:00:00Z,2021-01-05T14:40:04Z,Bremen,HB,2653,700,3.894586334156388,942,811,18,651,NA,NA
2021-01-05T11:00:00Z,2021-01-05T14:40:04Z,Hamburg,HH,4756,616,2.5746337940715214,1704,2698,0,2060,NA,NA
2021-01-05T11:00:00Z,2021-01-05T14:40:04Z,Hessen,HE,37795,4390,6.010578745817483,10329,22051,1492,14561,NA,NA
2021-01-05T11:00:00Z,2021-01-05T14:40:04Z,Mecklenburg-Vorpommern,MV,13832,1773,8.601251882612065,242,7738,29,5968,NA,NA
2021-01-05T11:00:00Z,2021-01-05T14:40:04Z,Niedersachsen,NI,8665,3271,1.083991108896008,1791,4198,1915,5251,NA,NA
2021-01-05T11:00:00Z,2021-01-05T14:40:04Z,Nordrhein-Westfalen,NW,62692,4435,3.4931313321432884,0,25744,0,36956,NA,NA
2021-01-05T11:00:00Z,2021-01-05T14:40:04Z,Rheinland-Pfalz,RP,9891,1609,2.4160318405199144,0,5435,0,4456,NA,NA
2021-01-05T11:00:00Z,2021-01-05T14:40:04Z,Saarland,SL,4836,687,4.9002570709716515,3655,584,0,1823,NA,NA
2021-01-05T11:00:00Z,2021-01-05T14:40:04Z,Sachsen,SN,7740,2874,1.9007993917441948,662,6354,1,1385,NA,NA
2021-01-05T11:00:00Z,2021-01-05T14:40:04Z,Sachsen-Anhalt,ST,15628,2262,7.120524954186794,4967,7523,649,7804,NA,NA
2021-01-05T11:00:00Z,2021-01-05T14:40:04Z,Schleswig-Holstein,SH,12978,3421,4.469357625406669,3427,6611,2716,5616,NA,NA
2021-01-05T11:00:00Z,2021-01-05T14:40:04Z,Thüringen,TH,2715,493,1.2726296043176597,446,1976,1,413,NA,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Baden-Württemberg,BW,37840,5621,3.4088880088400466,18907,11336,2023,6476,NA,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Bayern,BY,82749,4873,6.304812050710044,18957,40959,1573,28182,NA,NA
